Bookmaker,Date,Start Time (UTC),Home Team Unparse,Away Team Unparse,Home Odd,Draw Odd,Away Odd,scrapping_time,Date Unparse,Sport,Home Team Std,Away Team Std
Winamax,2025-01-13,2025-01-13T01:30:00Z,Chicago Blackhawks,Colorado Avalanche,3.8,4.2,1.6,,,NHL,CHI - Chicago Black Hawks/Blackhawks,COL - Colorado Avalanche
Winamax,2025-01-13,2025-01-13T01:30:00Z,Washington Capitals,Vancouver Canucks,1.86,3.95,3.0,,,NHL,WSH - Washington Capitals,VAN - Vancouver Canucks
Winamax,2025-01-13,2025-01-13T04:00:00Z,Utah Hockey Club,Florida Panthers,2.6,3.85,2.05,,,NHL,UTA - Utah Hockey Club,FLA - Florida Panthers
Winamax,2025-01-13,2025-01-13T04:30:00Z,Los Angeles Kings,Calgary Flames,1.64,4.0,3.65,,,NHL,LAK - Los Angeles Kings,CGY - Calgary Flames
Zebet,2025-01-08,2025-01-08T01:00:00Z,TB Lightning,CAR Hurricanes,2.55,4.05,2.3,,,NHL,TBL - Tampa Bay Lightning,CAR - Carolina Hurricanes
Zebet,2025-01-08,2025-01-08T01:00:00Z,PIT Penguins,CLB BJackets,2.0,4.2,3.0,,,NHL,PIT - Pittsburgh Penguins,CBJ - Columbus Blue Jackets
Zebet,2025-01-08,2025-01-08T01:00:00Z,DET Red Wings,OTT Senators,2.6,4.0,2.3,,,NHL,DET - Detroit Red Wings,OTT - Ottawa Senators
Zebet,2025-01-08,2025-01-08T01:00:00Z,BOS Bruins,EDM Oilers,2.95,4.1,2.05,,,NHL,BOS - Boston Bruins,EDM - Edmonton Oilers
Zebet,2025-01-08,2025-01-08T01:00:00Z,NY Rangers,DAL Stars,3.15,4.3,1.93,,,NHL,NYR - New York Rangers,DAL - Dallas Stars
Zebet,2025-01-08,2025-01-08T01:30:00Z,PHI Flyers,TOR MapleLeafs,2.85,4.1,2.1,,,NHL,PHI - Philadelphia Flyers,TOR - Toronto Maple Leafs
Zebet,2025-01-08,2025-01-08T02:00:00Z,WIN Jets,NAS Predators,1.97,4.1,3.05,,,NHL,WPG - Winnipeg Jets,NSH - Nashville Predators
Zebet,2025-01-08,2025-01-08T02:00:00Z,MIN Wild,STL Blues,2.3,3.9,2.55,,,NHL,MIN - Minnesota Wild,STL - St. Louis Blues
Zebet,2025-01-08,2025-01-08T04:00:00Z,ANA Ducks,CAL Flames,2.9,4.15,2.05,,,NHL,ANA - Mighty Ducks of Anaheim/Anaheim Ducks,CGY - Calgary Flames
